mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.942540502548217,1.1680401397387696,0.16795015335083008,0.15697253139363382,1.0,0.05,7,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9437086092715232,0.9468129139072847,0.945364238410596,0.9439039536327882,0.940799006416891,0.9441177443278168,0.0020022390385505172,13
1.796996545791626,0.42801801565477715,0.06041259765625,0.06149575779574128,1.0,0.1,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9213576158940397,0.9215645695364238,0.9228062913907285,0.9207203477540882,0.9188573794245498,0.921061240799966,0.0012930268835898999,43
1.8828073978424071,0.6779758691587935,0.027523088455200195,0.008464877388963744,1.0,0.1,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9209437086092715,0.9240480132450332,0.9209437086092715,0.9213413371972676,0.9198923618298489,0.9214338258981385,0.0013927721301040903,40
4.758599376678466,0.7099310695106399,0.05405979156494141,0.05293700930636204,1.0,0.1,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.933567880794702,0.9310844370860927,0.9300496688741722,0.9290002069964811,0.9254812668184641,0.9298366921139823,0.0026530522966417077,31
3.33369460105896,0.5764853441680061,0.06367530822753906,0.04872985212078145,1.0,0.1,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9288079470198676,0.9277731788079471,0.9275662251655629,0.9287932105154212,0.9263092527427034,0.9278499628503004,0.0009238658263459157,34
2.57425799369812,0.49888297484037697,0.1253817081451416,0.15233798317818492,1.0,0.1,5,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9381208609271523,0.9422599337748344,0.9387417218543046,0.9379010556820534,0.9316911612502587,0.9377429466977206,0.0034115289471457616,23
2.186173343658447,0.6501040215403572,0.04976634979248047,0.037049317478484535,1.0,0.1,5,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9389486754966887,0.9383278145695364,0.9364652317880795,0.9352101014282758,0.9316911612502587,0.9361285969065678,0.0025860082665972906,27
5.380042934417725,0.909749282248215,0.05734043121337891,0.03440388401864774,1.0,0.1,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9478476821192053,0.9482615894039735,0.9476407284768212,0.9449389360380873,0.9403850134547713,0.9458147898985718,0.002956454718288857,8
4.350397682189941,1.6010344662676026,0.10147566795349121,0.10303909451865742,1.0,0.1,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9455711920529801,0.9457781456953642,0.9463990066225165,0.944110950113848,0.9376940592009936,0.9439106707371406,0.003197592220984092,15
4.972108554840088,0.8090722119452369,0.03549652099609375,0.007615791063941736,1.0,0.1,7,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.9501241721854304,0.9478476821192053,0.9474337748344371,0.9439039536327882,0.9439039536327882,0.9466427072809299,0.0024166047755798388,5
2.884872245788574,1.238095198245796,0.1639862060546875,0.09863584920605259,1.0,0.1,7,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9461920529801324,0.9466059602649006,0.9445364238410596,0.9439039536327882,0.9387290416062927,0.9439934864650349,0.002816944829753156,14
